player,position,season,Team,TOI,GF_60,GA_60,GPM_60,xGF_60,xGA_60,xGPM_60,CF_60,CA_60,CPM_60
ANDREAS.JOHNSSON,F,20182019,TOR,865.72,0.179,-0.038,0.217,0.055,0.085,-0.031,2.97,-1.12,4.08
ANDREAS.MARTINSEN,F,20172018,CHI,108.95,-0.047,-0.041,-0.006,-0.031,-0.05,0.019,0.81,-0.72,1.53
ANDREAS.MARTINSEN,F,20182019,CHI,182.73,-0.048,0.075,-0.123,-0.035,0.073,-0.108,-0.33,0.68,-1.02
ANDRE.BURAKOVSKY,F,20172018,WSH,697.52,0.025,-0.07,0.095,-0.083,-0.09,0.008,2.22,-2.16,4.38
ANDRE.BURAKOVSKY,F,20182019,WSH,819.37,-0.033,-0.05,0.018,-0.132,-0.085,-0.047,0.27,1.38,-1.11
ANDREI.MIRONOV,D,20172018,COL,95.38,0.004,-0.039,0.043,-0.116,0.012,-0.129,-1.62,1.24,-2.85
ANDREI.SVECHNIKOV,F,20182019,CAR,1020.2,0.01,-0.027,0.037,0.414,0.083,0.331,3.96,-1.07,5.03
ANDREJ.SEKERA,D,20172018,EDM,500.93,-0.218,0.144,-0.361,-0.164,0.167,-0.331,-1.31,0.2,-1.51
ANDREJ.SEKERA,D,20182019,EDM,349.72,0.026,0.037,-0.011,-0.039,0.01,-0.049,-0.43,-1.34,0.92
ANDREJ.SUSTR,D,20172018,T.B,541.18,-0.05,0.1,-0.15,-0.025,0.064,-0.088,1.32,0.06,1.26
ANDREJ.SUSTR,D,20182019,ANA,58.6,-0.035,-0.026,-0.009,-0.052,0.037,-0.089,-1.07,0.82,-1.89
ANDREW.AGOZZINO,F,20182019,COL,79.48,-0.003,-0.056,0.054,0.063,-0.023,0.086,-0.48,-0.26,-0.21
ANDREW.COGLIANO,F,20172018,ANA,1052.88,-0.008,-0.144,0.137,0.039,-0.001,0.039,1.9,-0.94,2.83
ANDREW.COGLIANO,F,20182019,ANA/DAL,859.55,-0.173,-0.222,0.049,0.022,-0.106,0.127,1.27,-3.9,5.18
ANDREW.COPP,F,20172018,WPG,943.1,0.027,-0.078,0.105,-0.037,-0.133,0.096,0.82,-4.03,4.86
ANDREW.COPP,F,20182019,WPG,729.02,0.14,-0.199,0.339,0.066,-0.089,0.155,1.99,-2.42,4.41
ANDREW.CRESCENZI,F,20172018,L.A,13.15,-0.012,-0.01,-0.002,-0.029,0.033,-0.062,-0.82,0.6,-1.43
ANDREW.LADD,F,20172018,NYI,928.23,0.057,-0.193,0.251,0.027,-0.196,0.223,1.87,-3.61,5.48
ANDREW.LADD,F,20182019,NYI,330.48,-0.011,0.007,-0.018,-0.082,0.057,-0.139,-0.73,0.26,-1
ANDREW.MACDONALD,D,20172018,PHI,1162.38,-0.07,-0.093,0.023,0.042,-0.013,0.055,-1.79,0.38,-2.17
ANDREW.MACDONALD,D,20182019,PHI,667.63,0.048,0.098,-0.049,0.022,-0.047,0.069,-0.88,-0.74,-0.14
ANDREW.MANGIAPANE,F,20172018,CGY,88.17,-0.071,-0.028,-0.043,-0.04,-0.031,-0.01,0.72,0.2,0.51
ANDREW.MANGIAPANE,F,20182019,CGY,437.42,0.085,-0.102,0.187,0.095,-0.143,0.238,2.71,-1.32,4.03
ANDREW.SHAW,F,20172018,MTL,665.98,-0.026,0.014,-0.039,0.039,0.007,0.032,0.23,0.36,-0.13
ANDREW.SHAW,F,20182019,MTL,805.2,0.35,0.011,0.34,0.208,0.03,0.177,2.91,0.62,2.29
ANDY.ANDREOFF,F,20172018,L.A,417.52,-0.112,0.058,-0.171,-0.115,0.038,-0.153,-2.25,1.81,-4.06
